Company,Launch Date,Launch Time,Launch Site,Temperature (° F),Wind speed (MPH),Humidity (%),Vehicle Type,Liftoff Thrust (kN),Payload to Orbit (kg),Rocket Height (m),Fairing Diameter (m),Payload Name,Payload Type,Payload Mass (kg),Payload Orbit,Mission Status,Failure Reason
SpaceX,24 03 2006,22:30,Marshall Islands,86,9,74,Falcon 1,343,470,22.25,1.5,FalconSAT-2,Research Satellite,19.5,Low Earth Orbit,Failure,Engine Fire During Launch
SpaceX,21 03 2007,01:10,Marshall Islands,0,0,0,Falcon 1,343,470,22.25,1.5,DemoSat,Mass simulator,0,Low Earth Orbit,Failure,Engine Shutdown During Launch
SpaceX,03 08 2008,03:34,Marshall Islands,0,0,0,Falcon 1,343,470,22.25,1.5,Trailblazer,Communication Satellite,0,Low Earth Orbit,Failure,Collision During Launch
SpaceX,03 08 2008,03:34,Marshall Islands,0,0,0,Falcon 1,343,470,22.25,1.5,Explorers,Human Remains,0,Low Earth Orbit,Failure,Collision During Launch
SpaceX,08 10 2012,00:35,Cape Canaveral,77,5,100,Falcon 9 (v1.0),4940,10450,54.9,5.2,Orbcomm-OG2,Communication Satellite,150,Low Earth Orbit,Failure,Engine Failure During Flight
SpaceX,28 06 2015,14:21,Cape Canaveral,93,10,42,Falcon 9 (v1.1),5885,13150,68.4,5.2,SpaceX CRS-7,Space Station Supplies,1952,Low Earth Orbit,Failure,Vehicle Explosion During Flight
SpaceX,01 09 2016,13:07,Cape Canaveral,87,15,80,Falcon 9 Full Thrust (v1.2),6804,8300,70,5.2,Amos-6,Communication Satellite,5500,Geostationary Transfer Orbit,Failure,Vehicle Explosion Before Launch
Boeing,05 09 1995,11:10,Cape Canaveral,84,10,60,Delta II 7925,3511,1819,38.1,2.9,Koreasat 1,Communication Satellite,711,Geostationary Transfer Orbit,Failure,"One SRB failed to separate, retarding the booster's orbital velocity."
Boeing,17 01 1997,16:28,Cape Canaveral,50,12,62,Delta II 7925,3511,1819,38.1,2.9,GPS IIR-1,Global Positioning System,2030,Medium Earth Orbit,Failure,Exploded 13 seconds after launch due to SRB failure.
Boeing,27 08 1998,01:17,Cape Canaveral,82,7,89,Delta III 8930,628,3810,35,4,Galaxy 10,Communication Satellite,700,Geostationary Transfer Orbit,Failure,"Flight program, adapted to the Delta II, and not to the Delta III"
Boeing,05 05 1999,01:00,Cape Canaveral,70,8,64,Delta III 8930,628,3810,35,4,Orion 3,Communication Satellite,0,Geostationary Transfer Orbit,Failure,Launch failed due to an anomaly on the second stage
Boeing,21 12 2004,21:50,Cape Canaveral,62,5,83,Delta IV Heavy,9411,28370,72,5.1,DemoSat / 3CS-1 & 2,Research Satellite,0,Geostationary Transfer Orbit,Failure,Common Booster Cores shutdown prematurely putting the payloads in a lower than planned orbit
US Air Force,26 08 1996,13:59,Cape Canaveral,90,12,70,Titan IIIC,13642,13100,42,3,IDCSP GGTS-2,Gravity Gradient Test Satellite,0,Low Earth Orbit,Failure,Payload fairing disintegrated at T+78 seconds leading to a loss of the launch vehicle.
US Air Force,26 06 1973,00:00,Vandenberg ,50,10,80,Titan III(24)B,2410,4000,50,3,KH-8 no. 39,Reconnaissance Satellites,3000,Low Earth Orbit,Failure,Agena Failed to reach orbit
US Air Force,20 05 1972,15:30,Vandenberg ,64,20,46,Titan III(24)B,2410,4000,50,3,KH-8 no. 35,Reconnaissance Satellites,3000,Low Earth Orbit,Failure,Agena pressurization failure
US Air Force,20 06 1967,16:19,Vandenberg ,60,15,80,Titan IIIB,2300,3300,45,1.52,KH-8 Gambit no.06,Reconnaissance Satellites,3000,Polar Orbit,Failure,A problem with the second stage protective skirt caused a lower then planned orbit.
US Air Force,26 04 1967,00:00,Vandenberg ,56,12,75,Titan IIIB,2300,3300,45,1.52,KH-8 Gambit no.05,Reconnaissance Satellites,3000,Polar Orbit,Failure,A loss of thrust in the second stage means the rocket failed to achieve orbit.
US Air Force,15 10 1965,17:23,Cape Canaveral,0,0,0,Titan IIIC,13642,13100,42,3,LCS-2,Research Satellite,0,Low Earth Orbit,Failure,The Transtage disintegrated causing a launch failure.
US Air Force,01 09 1964,15:00,Cape Canaveral,0,0,0,Titan IIIA,1936,3100,42,3,Transtage 1,None,0,Low Earth Orbit,Failure,Transtage failed to pressurize.
European Space Agency,23 05 1980,14:29, Guiana Space Centre,0,0,0,Ariane 1,2772,1850,50,0,CAT-2 Amsat P3A Firewheel Subsat,Communication Satellite,0,Geostationary Transfer Orbit,Failure,Combustion instability that had occurred in one of the Viking first stage engines.
European Space Agency,09 09 1982,02:12, Guiana Space Centre,0,0,0,Ariane 1,2772,1850,50,0,MARCES-B Sirio-2,Communication Satellite,1710,Geostationary Transfer Orbit,Failure,Third stage turbopump malfunction.
